Slope,MidPoint,result
0.25,10,-2.1118220839437325
0.25,20,-17.671929392555274
0.25,30,-10.77370051362288
0.25,40,-7.237863673985377
0.25,50,-5.071610092124134
0.25,60,-3.5725662464459917
0.25,70,-2.409247376717783
0.25,80,-1.0236972899062262
0.25,90,-0.09520558015130742
0.25,100,-0.08502396087186649
0.5,10,-1.0183874165874438
0.5,20,-3.5313367458323404
0.5,30,-8.412667351397142
0.5,40,-5.434368152946291
0.5,50,-3.5715540091608338
0.5,60,-2.1932370382674216
0.5,70,-0.20324442585545258
0.5,80,-0.17774476168896108
0.5,90,-0.15789648221175606
0.5,100,-0.14196959758892796
1.0,10,-0.5205502066074073
1.0,20,-2.2127963271631486
1.0,30,-5.4274283201234415
1.0,40,-3.0786187352194165
1.0,50,-1.0230555665452479
1.0,60,-0.35610320802191614
1.0,70,-0.30295960266014005
1.0,80,-0.2636730079453518
1.0,90,-0.23343023074578817
1.0,100,-0.2094294262314566
2.0,10,-0.3350188532916588
2.0,20,-5.403632396158379
2.0,30,-2.190225062520043
2.0,40,-0.7609443791447804
2.0,50,-0.5848860977708803
2.0,60,-0.4753735872993307
2.0,70,-0.40085415254015977
2.0,80,-0.3468925794194795
2.0,90,-0.3060005177774617
2.0,100,-0.27392349363497004
4.0,10,-0.2908871281519725
4.0,20,-2.506570468120546
4.0,30,-1.3584850455089332
4.0,40,-0.9276238249607076
4.0,50,-0.7018214524057238
4.0,60,-0.5653509210701714
4.0,70,-0.47435698662068726
4.0,80,-0.40936315066605455
4.0,90,-0.36056384276840664
4.0,100,-0.3225239626683358
